MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974691,37.7924585,3.1270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2987.9080000,0.1132275,-0.0515540,-3.1280620
MsgID.LOCAL_VELOCITY,2987.9080000,0.0000888,0.0000346,-0.0000208
MsgID.GLOBAL_POSITION,0.0000000,-122.3974696,37.7924575,3.1330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2988.1580000,-0.0154644,-0.0858496,-3.1342576
MsgID.LOCAL_VELOCITY,2988.1580000,0.0001688,0.0000592,0.0000069
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974678,37.7924569,3.1460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2988.4080000,-0.0645652,0.0845451,-3.1484911
MsgID.LOCAL_VELOCITY,2988.4080000,0.0000902,0.0000610,-0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3974677,37.7924574,3.1680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2988.6580000,-0.0041101,0.0597801,-3.1707683
MsgID.LOCAL_VELOCITY,2988.6580000,0.0000953,0.0000012,0.0000301
MsgID.GLOBAL_POSITION,0.0000000,-122.3974703,37.7924583,3.1910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2988.9080000,0.1012246,-0.1821783,-3.1950297
MsgID.LOCAL_VELOCITY,2988.9080000,0.0000991,0.0000114,0.0000186
MsgID.GLOBAL_POSITION,0.0000000,-122.3974695,37.7924589,3.2160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2989.1590000,0.1530454,-0.0604699,-3.2181678
MsgID.LOCAL_VELOCITY,2989.1590000,0.0001274,0.0000171,0.0000394
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974678,37.7924579,3.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2989.4090000,0.0116854,0.0562001,-3.2320836
MsgID.LOCAL_VELOCITY,2989.4090000,0.0001218,0.0000373,0.0000344
MsgID.GLOBAL_POSITION,0.0000000,-122.3974692,37.7924560,3.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2989.6590000,-0.1614374,-0.0648659,-3.2341673
MsgID.LOCAL_VELOCITY,2989.6590000,0.0001651,0.0000330,-0.0000189
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924576,3.2250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
